data_somministrazione,fascia_anagrafica,vaccinazioni,booster
2020-12-27,05-11,0,0
2020-12-27,12-19,0,0
2020-12-27,20-29,3,0
2020-12-27,30-39,1,0
2020-12-27,40-49,2,0
2020-12-27,50-59,3,0
2020-12-27,60-69,5,0
2020-12-27,70-79,2,0
2020-12-27,80-89,1,0
2020-12-27,90+,2,0
2020-12-28,05-11,0,0
2020-12-28,12-19,0,0
2020-12-28,20-29,1,0
2020-12-28,30-39,0,0
2020-12-28,40-49,1,0
2020-12-28,50-59,0,0
2020-12-28,60-69,0,0
2020-12-28,70-79,0,0
2020-12-28,80-89,0,0
2020-12-28,90+,0,0
2020-12-29,05-11,0,0
2020-12-29,12-19,0,0
2020-12-29,20-29,0,0
2020-12-29,30-39,1,0
2020-12-29,40-49,0,0
2020-12-29,50-59,0,0
2020-12-29,60-69,0,0
2020-12-29,70-79,0,0
2020-12-29,80-89,0,0
2020-12-29,90+,0,0
2020-12-30,05-11,0,0
2020-12-30,12-19,0,0
2020-12-30,20-29,3,0
2020-12-30,30-39,2,0
2020-12-30,40-49,1,0
2020-12-30,50-59,0,0
2020-12-30,60-69,0,0
2020-12-30,70-79,0,0
2020-12-30,80-89,0,0
2020-12-30,90+,0,0
2020-12-31,05-11,0,0
2020-12-31,12-19,0,0
2020-12-31,20-29,13,0
2020-12-31,30-39,10,0
2020-12-31,40-49,11,0
2020-12-31,50-59,14,0
2020-12-31,60-69,4,0
2020-12-31,70-79,3,0
2020-12-31,80-89,3,0
2020-12-31,90+,4,0
2021-01-01,05-11,0,0
2021-01-01,12-19,0,0
2021-01-01,20-29,4,0
2021-01-01,30-39,6,0
2021-01-01,40-49,4,0
2021-01-01,50-59,6,0
2021-01-01,60-69,1,0
2021-01-01,70-79,0,0
2021-01-01,80-89,1,0
2021-01-01,90+,0,0
2021-01-02,05-11,0,0
2021-01-02,12-19,0,0
2021-01-02,20-29,9,0
2021-01-02,30-39,23,0
2021-01-02,40-49,21,0
2021-01-02,50-59,24,0
2021-01-02,60-69,11,0
2021-01-02,70-79,2,0
2021-01-02,80-89,6,0
2021-01-02,90+,4,0
2021-01-03,05-11,0,0
2021-01-03,12-19,0,0
2021-01-03,20-29,14,0
2021-01-03,30-39,20,0
2021-01-03,40-49,15,0
2021-01-03,50-59,13,0
2021-01-03,60-69,8,0
2021-01-03,70-79,1,0
2021-01-03,80-89,0,0
2021-01-03,90+,2,0
2021-01-04,05-11,0,0
2021-01-04,12-19,0,0
2021-01-04,20-29,32,0
2021-01-04,30-39,37,0
2021-01-04,40-49,32,0
2021-01-04,50-59,39,0
2021-01-04,60-69,18,0
2021-01-04,70-79,6,0
2021-01-04,80-89,17,0
2021-01-04,90+,9,0
2021-01-05,05-11,0,0
2021-01-05,12-19,0,0
2021-01-05,20-29,33,0
2021-01-05,30-39,47,0
2021-01-05,40-49,30,0
2021-01-05,50-59,50,0
2021-01-05,60-69,23,0
2021-01-05,70-79,12,0
2021-01-05,80-89,19,0
2021-01-05,90+,17,0
2021-01-06,05-11,0,0
2021-01-06,12-19,1,0
2021-01-06,20-29,18,0
2021-01-06,30-39,34,0
2021-01-06,40-49,26,0
2021-01-06,50-59,36,0
2021-01-06,60-69,16,0
2021-01-06,70-79,7,0
2021-01-06,80-89,18,0
2021-01-06,90+,28,0
2021-01-07,05-11,0,0
2021-01-07,12-19,0,0
2021-01-07,20-29,27,0
2021-01-07,30-39,50,0
2021-01-07,40-49,50,0
2021-01-07,50-59,54,0
2021-01-07,60-69,25,0
2021-01-07,70-79,10,0
2021-01-07,80-89,29,0
2021-01-07,90+,32,0
2021-01-08,05-11,0,0
2021-01-08,12-19,0,0
2021-01-08,20-29,34,0
2021-01-08,30-39,56,0
2021-01-08,40-49,65,0
2021-01-08,50-59,60,0
2021-01-08,60-69,30,0
2021-01-08,70-79,13,0
2021-01-08,80-89,25,0
2021-01-08,90+,37,0
2021-01-09,05-11,0,0
2021-01-09,12-19,3,0
2021-01-09,20-29,30,0
2021-01-09,30-39,35,0
2021-01-09,40-49,39,0
2021-01-09,50-59,48,0
2021-01-09,60-69,26,0
2021-01-09,70-79,11,0
2021-01-09,80-89,32,0
